num_mules,num_sensors,advertisement_period,connection_time,ble_throughput,sample_period,sample_length,batch_period,batch_length
100,1000,2.0,1.5,125000.0,10.0,128,600.0,100000

sensor_id,mule_id,sample_time,pickup_time,batch_time,data_length
76,0,660.0,679.1686080000021,1200,128
76,0,670.0,679.1696320000021,1200,128
86,0,660.0,697.5010240000003,1200,128
86,0,670.0,697.5020480000003,1200,128
86,0,680.0,697.5030720000003,1200,128
86,0,690.0,697.5040960000003,1200,128
582,0,660.0,697.7010240000001,1200,128
582,0,670.0,697.7020480000001,1200,128
582,0,680.0,697.7030720000001,1200,128
582,0,690.0,697.7040960000002,1200,128
86,0,700.0,700.001024,1200,128
582,0,700.0,700.001024,1200,128
96,0,460.0,766.001024,1200,128
96,0,470.0,766.0020480000001,1200,128
96,0,480.0,766.0030720000001,1200,128
96,0,490.0,766.0040960000001,1200,128
96,0,500.0,766.0051200000001,1200,128
96,0,510.0,766.0061440000002,1200,128
96,0,520.0,766.0071680000002,1200,128
96,0,530.0,766.0081920000002,1200,128
96,0,540.0,766.0092160000003,1200,128
96,0,550.0,766.0102400000003,1200,128
96,0,560.0,766.0112640000003,1200,128
96,0,570.0,766.0122880000004,1200,128
96,0,580.0,766.0133120000004,1200,128
96,0,590.0,766.0143360000004,1200,128
96,0,600.0,766.0153600000004,1200,128
96,0,610.0,766.0163840000005,1200,128
96,0,620.0,766.0174080000005,1200,128
96,0,630.0,766.0184320000005,1200,128
96,0,640.0,766.0194560000006,1200,128
96,0,650.0,766.0204800000006,1200,128
96,0,660.0,766.0215040000006,1200,128
96,0,670.0,766.0225280000006,1200,128
96,0,680.0,766.0235520000007,1200,128
96,0,690.0,766.0245760000007,1200,128
96,0,700.0,766.0256000000007,1200,128
96,0,710.0,766.0266240000008,1200,128
96,0,720.0,766.0276480000008,1200,128
96,0,730.0,766.0286720000008,1200,128
96,0,740.0,766.0296960000009,1200,128
96,0,750.0,766.0307200000009,1200,128
96,0,760.0,766.0317440000009,1200,128
918,0,630.0,766.7010240000001,1200,128
918,0,640.0,766.7020480000001,1200,128
918,0,650.0,766.7030720000001,1200,128
918,0,660.0,766.7040960000002,1200,128
918,0,670.0,766.7051200000002,1200,128
918,0,680.0,766.7061440000002,1200,128
918,0,690.0,766.7071680000003,1200,128
918,0,700.0,766.7081920000003,1200,128
918,0,710.0,766.7092160000003,1200,128
918,0,720.0,766.7102400000003,1200,128
918,0,730.0,766.7112640000004,1200,128
918,0,740.0,766.7122880000004,1200,128
918,0,750.0,766.7133120000004,1200,128
918,0,760.0,766.7143360000005,1200,128
918,0,770.0,770.8010240000001,1200,128
96,0,770.0,772.301024,1200,128
86,0,710.0,778.7010240000002,1200,128
86,0,720.0,778.7020480000002,1200,128
86,0,730.0,778.7030720000002,1200,128
86,0,740.0,778.7040960000003,1200,128
86,0,750.0,778.7051200000003,1200,128
86,0,760.0,778.7061440000003,1200,128
86,0,770.0,778.7071680000004,1200,128
